id;IncC;IncFIB(pQil);IncFII(K);repB(R1701);IncFIB(K);Col440I
G18000628;YES;NO;NO;NO;YES;NO
G18000165;NO;NO;NO;NO;YES;NO
G18001105;YES;NO;NO;NO;YES;NO
G18001135;YES;NO;NO;NO;YES;NO
G18000202;NO;NO;NO;NO;YES;NO
G18000214;NO;NO;NO;NO;YES;NO
G18000660;YES;NO;NO;NO;YES;NO
G18000410;NO;NO;NO;NO;YES;NO
G18000767;NO;NO;NO;NO;YES;NO
G18000711;YES;NO;NO;NO;YES;NO
G18001038;NO;NO;NO;NO;YES;NO
G18000718;NO;NO;NO;NO;YES;NO
G18000754;NO;NO;NO;NO;YES;NO
G18000434;NO;NO;NO;NO;YES;NO
G18000389;NO;NO;NO;NO;YES;NO
G18000376;NO;NO;NO;NO;YES;NO
TEST-RA-1263-23;YES;NO;YES;NO;YES;YES
TEST-RA-1349-23;YES;YES;YES;NO;YES;NO
TEST-RA-480-23;YES;YES;YES;NO;YES;NO
TEST-RA-479-23;YES;YES;YES;NO;YES;NO
TEST-RA-1260-23;YES;YES;YES;NO;YES;YES
TEST-RA-1257-23;YES;YES;YES;NO;YES;YES
TEST-RA-1031-23;YES;YES;YES;NO;YES;YES
TEST-RA-1037-23;YES;YES;YES;NO;YES;YES
TEST-RA-1161-23;YES;YES;YES;NO;YES;YES
TEST-RA-1261-23;YES;YES;YES;NO;YES;YES
TEST-RA-1262-23;YES;YES;YES;NO;YES;YES
