Sample Identifier,Selected,Classroom
ZAF/NHLS-UCT-GP-O898/2022,yes,A
ZAF/NHLS-UCT-GP-O866/2022,yes,A
ZAF/NHLS-UCT-GP-O942/2022,yes,A
ZAF/NHLS-UCT-LA-ZA43/2022,yes,A
ZAF/NHLS-UCT-LA-ZA44/2022,yes,A
Wuhan/Hu-1/2019,no,
USA/WI-CDC-03041142-001/2020,no,
EGY/EGY_CCHE57357_P_27/2020,no,
OX466723,no,
Wuhan/IPBCAMS-WH-04/2019,no,
AUS/VIC03/2020,no,
hCoV-19/Wuhan/IVDC-HB-GX02/2019,no,
Wuhan/WIV02/2019,no,
Japan/DP0482/2020,no,
NZL/21MV0118/2021,no,
AUS/NT05/2020,no,
ITA/INMI1-B1/2020,no,
NZL/20VR0635/2020,no,
BRA/SP02/2020,no,
HongKong/HKPU-00025/2020,no,
hCoV-19/England/01/2020,no,
CHN/GZMU0047/2020,no,
CHN/WHUHnCoV005/2020,no,
USA/WA-S113/2020,no,
USA/WA-S123/2020,no,
USA/CA-QDX-2477/2020,no,
AUS/VIC07/2020,no,
KEN/K99421/2020,no,
OV027171,no,
NGA/BCVL-18756/2021,no,
PRY/202102905_58287/2021,no,
AUS/VIC598/2020,no,
AUS/TAS158/2020,no,
AUS/TAS166/2020,no,
AUS/SA02/2020,no,
AUS/SA03/2020,no,
AUS/SA04/2020,no,
NZL/20VR1889/2020,no,
USA/TG724343/2020,no,
NGA/CV267/2020,no,
GAB/88L_Gabon/2020,no,
KEN/SS2814/2020,no,
OX631810,no,
KEN/C1646/2020,no,
KEN/C8013/2020,no,
KEN/C79951/2021,no,
OU799470,no,
England/MILK-61F2C6/2020,no,
OU072185,no,
NZL/20CV0663/2020,no,
OX471425,no,
Switzerland/BE-ETHZ-420368/2020,no,
England/QEUH-95E5ED/2020,no,
OU809206,no,
England/QEUH-9CA40D/2020,no,
CHL/Santiago-PUC_MVL_0190/2020,no,
ARG/Cordoba-11499-61/2020,no,
CHL/Santiago-PUC_MVL_0215/2020,no,
CHL/Santiago-op9d0/2020,no,
USA/NMDOH-2021029670/2021,no,
USA/hCoV_19_USA_ID_IVREF_646141_2020/2020,no,
Colombia/UW21010840406/2021,no,
USA/WA-S2987/2020,no,
EGY/EGY-127/2020,no,
FRA/IHUCOVID-000823/2020,no,
COL/SEC-1405A/2021,no,
Colombia/UW20112484445/2020,no,
COL/RSEC-00002B/2020,no,
OU994384,no,
NZL/20CV0362/2020,no,
PAK/JRCGR_SCV-60_IBGE-12/2020,no,
IND/GBRC172/2020,no,
NZL/20CV0613/2020,no,
OU081526,no,
England/MILK-995C8B/2020,no,
Switzerland/BE-ETHZ-501168/2020,no,
FRA/IHUCOVID-015621-Nova1M/2020,no,
USA/TX-DSHS-3942/2020,no,
AUS/VIC823/2020,no,
JOR/SEARCH-0048-JOR/2020,no,
England/BRIS-130428/2020,no,
KEN/K31997/2020,no,
KEN/C57642/2020,no,
USA/CA-CZB-14673/2020,no,
NZL/21MV0056/2021,no,
SouthAfrica/NHLS-UCT-GS-B188/2021,no,
Pakistan/UHS2-Pak-276/2021,no,
KOR/KD-Cov-N13/2020,no,
USA/FL-BPHL-0528/2020,no,
PRY/202102829_631986/2021,no,
CHL/Santiago-PUC_MVL_0048/2020,no,
USA/CA-CZB-3946/2020,no,
USA/TG741186/2020,no,
hCoV-19/South_Korea/KDCA1475/2021,no,
USA/MI-MDHHS-SC22799/2020,no,
